"","X5.F2t.IsoP","X15.F2t.IsoP","X7.Dihomo.IsoP","X17.Dihomo.IsoP","X5.F3t.IsoP","X15.F3t.IsoP","X8.F3.IsoP","X4.F4.NeuroP","X10.F4.NeuroP","X13.F4.NeuroP","X20.F4.NeuroP","X9.D1.PhytoP","X9.F1.PhytoP","X16.F1.PhytoP","X16.B1.PhytoP"
"ARM1",-0.976443450832161,-0.463351921668537,-1.17716852262516,-0.579050149022277,-1.14929117987016,-0.345290791133662,0.689650147655793,-1.66109668641908,-1.380688788622,-0.8162124024991,0.824475809075944,2.22200475492148,2.3624028700604,-0.801725792033618,1.03186230216083
"ARM2",-1.00480784566169,-0.81168227818863,-1.18574772702141,-0.901076981815663,-1.16793527508177,-0.475685330817106,-1.35926607229404,-1.2330517284463,-1.07685298154786,-1.07095568386892,-0.65458351350299,-0.629786210678582,-0.391636794801906,-1.09564190537522,-0.0494231227229792
"ARM3",-0.327065361732377,-0.391794019121207,-0.324624384421703,0.804271744839616,-0.272518416144553,-0.0790089014870685,0.490642049978726,-0.267128248129178,-0.651717334605877,-1.225387278357,0.826612581528244,0.26316289459707,0.27177550672816,-0.831424776030116,2.08184820862813
"ARM4",-0.905431522851483,-0.730726642517058,-1.01702337389514,-0.637585080354706,-0.554180999439698,-0.614120071054902,-0.79412754597445,0.406940834605108,-0.897202958487096,-0.910765764593124,-0.307188019468272,-0.82937915627863,-0.73608149361396,-1.08461144160636,-0.975824332762196
"ARM5",-1.19606562894724,-0.597192839823586,-1.22761424447512,1.05908082363549,-1.1255107865144,3.58055604588021,1.40216584396461,-1.55626529134412,-1.14106523878644,-1.01900557980579,2.58277244076226,1.32265032928386,2.63022965038941,-0.616562033035721,-0.909998541453244
"BRM1",-0.00632563016364248,-0.758735572612837,-0.3026616211673,-0.897730918447166,-0.562585850948328,-0.419961168559224,-0.943772741210948,0.632451476104458,-0.582454675112572,0.121267909136574,-0.608157275675746,-0.760541731894778,-0.64814549027976,-0.970462075632968,-0.89789821216851
"BRM2",-0.729289640369203,-0.140757840828556,0.461230738274898,1.3792016709658,-0.195073712957895,-0.444798223737023,0.660121348358011,2.34366758730543,1.0795785954631,1.7072691182415,-0.160697698960027,-0.528091865178716,-0.374462668979762,0.442886769904781,0.0264056074613524
"BRM4",0.599117929222438,0.312913119012285,1.37817610414622,0.274026589014232,1.11901814989927,-0.133618580499793,-0.430531969078875,0.123301008619425,0.91336624983008,2.0542707771885,-0.61619445387701,0.541873408371781,-0.224071905743203,0.0641810338552839,-0.837719241192435
"BRM5",-0.411351018966018,-0.810515239434639,-0.252215899317343,0.234847998940066,-0.0768387978861022,-0.329051178132794,0.311112286778208,0.274788722821573,0.446835341550305,0.260177062892535,1.63431256849762,-0.257763622494974,-0.0769782760561737,-0.139671805414553,-0.727202900391866
"CRM1",2.92825364948991,2.82782021077012,2.30450140015743,2.51144174649294,2.85311912009044,0.142534446461054,0.0453975641814537,-0.533451695999459,0.182951823741177,0.38039252458401,0.400132225253288,1.11032582098903,0.18029352957654,2.7986669262293,-0.110408782318037
"CRM2",-0.0660069413485408,-0.889751028521382,-0.363859945860557,0.0769476921330505,-0.531534593985891,-0.170874163266491,-0.114298095876277,0.200077423602822,0.213975723305887,-0.591929824716497,-0.0351623173874054,-0.825939262010167,-0.571701759984237,0.585059476263927,-0.597003357288131
"CRM3",0.173424889739119,-0.73097233488632,-0.645715407625394,-0.607385799573214,0.145489536068361,-0.517000816834022,-0.714479835820343,-0.4964937723892,-0.827218812957403,-0.999226985969704,-0.406547938500219,-1.23382373641787,-0.614858957111798,0.0659080775767834,0.0164026685859724
"CRM4",0.85258054636456,-0.0273093893221881,-0.325539499557303,-0.634789635008874,-0.0506236657996623,-0.522095597383314,-0.766599945424259,-0.152154840076735,-0.50985514270097,-0.371027133222338,-1.18025381827391,-0.630418834911863,-0.621395161481685,0.0577148999218131,-0.20027389447266
"CRM5",1.05721299980995,0.69484190702885,1.30839857505671,-0.787819090076939,0.833386608947268,-0.273406621820994,-0.795016967640046,0.896526242364347,-0.0508998378032758,1.18609899796155,-0.881008548931364,-0.0139660585944391,-0.523157171056877,0.546622473438414,-0.693321978394612
"DRM1",-0.659539473724358,-0.311391191280473,0.0156840566295912,-1.23043126983373,-0.389419227802278,-0.527349589824771,-1.41738977814073,0.0281833062152089,1.9083856797645,0.68533337638592,-1.10442267772241,-1.18693046512594,-0.680984110965521,-0.60686797214659,-0.493908551782199
"DRM2",-0.39320689095674,0.856138947448841,-0.351734670313856,-0.939366112007063,-0.428875336273344,1.39441755455742,1.10456535465625,-0.817672813830005,-0.264008775801557,-0.599941407029847,-1.01700925921923,0.229040725014495,0.917520149238101,-0.640493924605069,1.16077114347419
"DRM4",0.464790817409663,1.74474682397435,0.716547861107331,0.858444087223246,0.345938574032105,-0.0130951781306023,2.26277024759514,0.475579163760419,0.748596876269835,0.626748680719543,0.359752082205847,1.58277750620595,-0.383205257058265,1.18078675995969,-0.123154462497957
"DRM5",0.600152573517821,0.227719289970957,0.989366560908115,0.0169726828951925,1.20743585366663,-0.252151834216916,0.369058108291776,1.33579931123528,1.88827425650017,0.582893612952191,0.343167814195383,-0.375194495797696,-0.515542658859472,1.04563530873022,2.29884744713435
