OTU ID	ARM1	ARM2	ARM3	ARM4	ARM5	BRM1	BRM2	BRM4	BRM5	CRM1	CRM2	CRM3	CRM4	CRM5	DRM1	DRM2	DRM4	DRM5
PWY-5743	14	4	3	4	1	3	124	31	14	5	48	48	17	14	42	0	6	80
PWY-5744	27	8	4	7	3	6	124	40	14	11	52	58	20	19	60	0	13	74
PWY-5747	1598	1285	916	1304	519	501	1125	998	406	760	531	2055	530	1246	1884	1524	946	1218
PWY-5789	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0
PWY-5823	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5837	2540	2387	2509	3550	1856	1933	1684	1688	3800	760	805	2573	736	1634	2316	3020	2458	1710
PWY-5838	4771	4490	4721	6236	3448	3879	3339	3187	5735	1614	1912	4776	1493	3166	4218	5770	4316	3254
PWY-5840	4519	4142	4495	5981	3315	3661	3054	3099	4156	1553	1943	4520	1453	2632	3676	5527	4196	2958
PWY-5845	3803	3888	3818	5213	2992	3294	2711	2568	5396	1318	1519	3541	1204	2492	2737	4920	3361	2692
PWY-5850	3712	3952	3817	5251	2877	3314	2740	2519	3104	1259	1573	3449	1250	2224	2798	4946	3443	2692
PWY-5855	5956	8408	6509	5873	3984	7759	4435	4587	4833	4834	2274	6783	2132	5175	4907	5947	4978	4170
PWY-5856	5762	8522	6485	5859	3876	7678	4572	4611	4847	4834	2343	6790	2096	5191	4836	5939	4932	4170
PWY-5857	5952	8474	6536	5869	3823	7690	4521	4578	4838	4814	2311	6802	2120	5114	4846	5839	5039	4170
PWY-5860	2724	2810	2712	3857	1968	2400	1911	1773	2185	901	1017	2493	848	1482	1940	3618	2405	1898
PWY-5861	3565	3353	3501	4833	2511	2723	2360	2284	4269	1122	1370	3520	1034	2256	3108	4197	3265	2321
PWY-5862	2723	2827	2745	3935	1994	2291	1891	1731	4005	841	1047	2481	830	1743	1982	3546	2418	1898
PWY-5863	2824	2621	2762	3861	2084	2206	2008	1837	4113	832	976	2919	805	1986	2551	3384	2793	1917
PWY-5896	3779	4023	3841	5322	2834	3252	2791	2461	3121	1293	1510	3452	1223	2190	2751	4889	3349	2692
PWY-5897	4563	4174	4421	6118	3344	3666	3174	2997	5569	1466	1802	4525	1435	3022	3986	5430	4111	3059
PWY-5898	4574	4180	4447	6007	3267	3599	3188	2885	5572	1474	1782	4483	1391	2963	3966	5397	4108	3059
PWY-5899	4622	4237	4435	6059	3278	3751	3234	2851	5552	1465	1822	4544	1399	3066	3906	5516	4256	3059
PWY-5910	623	253	173	394	163	214	298	369	242	51	334	1208	36	593	802	135	261	329
PWY-5913	7885	7432	7120	9264	5924	6245	5223	8532	9423	7057	3121	7014	6229	6905	6855	8155	7358	7143
PWY-5918	9840	11192	10654	11386	8924	13268	9553	9488	13475	9569	5785	10407	6318	10182	9895	10455	9287	9581
PWY-5920	4960	7943	6991	7264	3492	8989	4799	3599	4730	4879	2617	6333	2398	6388	3320	5875	6368	3619
PWY-5941	212	21	54	119	37	27	88	95	69	9	43	164	27	38	108	159	29	134
PWY-5971	4797	9773	5266	5504	4045	1601	5694	5004	1720	3803	2393	8277	1892	3717	5445	6224	5088	4492
