OTU ID	ARM1	ARM2	ARM3	ARM4	ARM5	BRM1	BRM2	BRM4	BRM5	CRM1	CRM2	CRM3	CRM4	CRM5	DRM1	DRM2	DRM4	DRM5
PWY490-3	406	1573	1669	1862	1410	1628	1318	1459	4539	914	403	852	596	1295	752	951	811	1561
PWY4FS-7	17887	16669	17167	17404	19181	19821	17284	18509	17233	19814	17811	16663	17705	17855	16902	17747	17969	18122
PWY4FS-8	17959	16663	17204	17398	19289	20039	17315	18388	17231	19808	18040	16827	17794	18054	17214	17813	17852	18122
PWYG-321	7674	10220	8084	6352	3446	2021	5450	4417	4743	4610	2253	9803	2025	5624	8152	6087	4989	3994
PYRIDNUCSAL-PWY	6485	8199	7316	6645	4427	3867	6829	5608	5300	5038	4514	7922	3641	8974	7039	6374	7136	5534
PYRIDNUCSYN-PWY	15512	12826	13636	14749	17787	16920	15550	15829	14339	17534	20541	13722	19622	15170	15611	15636	14911	16672
PYRIDOXSYN-PWY	4874	1271	1801	4464	2217	1012	2859	2583	1230	1536	1667	5497	1334	3418	4736	3182	3315	3061
REDCITCYC	9591	7876	8208	8613	8230	10558	10367	7404	7755	9327	4367	11179	3487	7106	8843	6565	7220	7703
RHAMCAT-PWY	340	617	369	541	260	172	246	239	191	175	161	239	161	214	213	513	430	221
RIBOSYN2-PWY	15891	15189	15020	15786	18769	19093	17304	16411	15940	18069	20926	15038	20665	15985	16407	16063	16087	17248
RUMP-PWY	90	151	221	197	147	82	115	161	2073	98	88	126	451	210	101	1081	221	128
SALVADEHYPOX-PWY	5879	10668	10282	6274	5198	5439	7495	6903	10294	5701	4246	7765	3435	10234	6864	5394	7791	5930
SER-GLYSYN-PWY	15997	16852	16836	15413	16585	14755	15000	17289	17492	15491	13795	15264	12544	17721	15260	14985	16514	15658
SO4ASSIM-PWY	6744	9708	7958	8490	3886	5502	4352	4193	6813	2672	2106	6470	2034	4612	4938	7759	6284	4417
SUCSYN-PWY	1967	2014	1915	923	688	657	762	561	1601	539	454	1437	658	637	641	2592	1113	729
SULFATE-CYS-PWY	8938	11718	9880	10070	6372	6564	6216	6236	6876	4407	3562	8717	3277	6455	6797	9366	8210	6075
TCA	18116	18448	18131	19243	19040	20825	17687	17860	17493	18496	18076	17524	18782	18143	16549	19595	19138	18396
TCA-GLYOX-BYPASS	5792	6079	5918	5556	3026	3697	4574	4019	6403	1854	2222	6593	1792	4739	5736	5404	5101	4530
TEICHOICACID-PWY	205	4	28	5	13	11	18	15	0	9	19	25	9	22	16	2	36	65
THISYN-PWY	10387	4463	9423	4377	12903	9042	8543	10525	3741	11016	10766	9975	8322	7529	9963	6115	8288	6747
THREOCAT-PWY	2	3	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
THRESYN-PWY	17048	15993	16139	16653	19310	18069	18235	17972	16702	18826	21675	16285	20920	17141	17750	16857	17072	18658
TRNA-CHARGING-PWY	14171	12348	13790	13749	15813	15959	13508	13767	13930	14575	15211	12690	12320	13995	14010	13283	14135	12910
TRPSYN-PWY	16649	17189	16285	17296	20496	16512	18751	16996	16756	18472	22845	16408	22457	16115	16429	17743	17648	18134
TYRFUMCAT-PWY	1480	914	1424	1020	803	457	2166	985	1294	1379	524	3048	436	1166	2284	801	1324	771
UBISYN-PWY	5721	8191	6324	5771	3764	7381	4288	4543	4796	4610	2307	6725	2052	5072	4712	5807	4828	4038
UDPNAGSYN-PWY	14427	15352	14539	15304	17447	17339	16981	15688	15970	17409	21367	14560	21563	15685	15067	16640	16050	17087
VALDEG-PWY	4	606	373	201	2	11	5	0	0	0	4	0	0	22	8	4	0	50
VALSYN-PWY	22757	25760	23784	22743	25371	21672	24848	23504	21818	24908	28265	22224	27713	22704	22713	22924	22830	24098
